Ref	Scraped?	LEA Name	City	County	LEA Type
SB978-001	Not scraped	Alameda County District Attorney 	Oakland	Alameda County	District Attorney
SB978-002	Not scraped	Alameda County Sheriff's Office	Oakland	Alameda County	Sheriff
SB978-003	Lexipol	Alameda Police Department	Alameda	Alameda County	Police
SB978-004	Lexipol	Albany Police Department	Albany	Contra Costa County	Police
SB978-005	Lexipol	Alhambra Police Department	Alhambra	Los Angeles County	Police
SB978-008	Not Lexipol	Alpine County Sheriff's Department	Markleeville	Alpine County	Sheriff
SB978-009	Lexipol	Alturas Police Department	Alturas	Modoc County	Police
SB978-011	Lexipol	Amador County Sheriff's Department	Jackson	Amador County	Sheriff
SB978-012	Not scraped	American River College Police Department	Sacramento	Sacramento County	College/University
SB978-014	Lexipol	Anaheim Police Department	Anaheim	Orange County	Police
SB978-015	Lexipol	Anderson Police Department	Anderson	Shasta County	Police
SB978-016	Lexipol	Angels Camp Police Department	Angels Camp	Calaveras County	Police
SB978-017	Lexipol	Antioch Police Department	Antioch	Contra Costa County	Police
SB978-018	Not scraped	Apple Valley Unified School District Police Department	Apple Valley	San Bernardino County	School
SB978-019	Not scraped	Arcadia Police Department	Arcadia	Los Angeles County	Police
SB978-020	Lexipol	Arcata Police Department	Arcata	Humboldt County	Police
SB978-021	Lexipol	Arroyo Grande Police Department	Arroyo Grande	San Luis Obispo County	Police
SB978-022	Lexipol	Arvin Police Department	Arvin	Kern County	Police
SB978-023	Lexipol	Atascadero Police Department	Atascadero	San Luis Obispo County	Police
SB978-024	Lexipol	Atherton Police Department	Atherton	San Mateo County	Police
SB978-025	Lexipol	Atwater Police Department	Atwater	Merced County	Police
SB978-026	Lexipol	Auburn Police Department	Auburn	Placer County	Police
SB978-027	Lexipol	Avenal Police Department	Avenal	Kings County	Police
SB978-029	Lexipol	Azusa Police Department	Azusa	Los Angeles County	Police
SB978-030	Lexipol	Bakersfield Police Department	Bakersfield	Kern County	Police
SB978-033	Lexipol	Banning Police Department	Banning	Riverside County	Police
SB978-034	Lexipol	Barstow Police Department	Barstow	San Bernardino County	Police
SB978-035	Lexipol	Bay Area Rapid Transit Police Department	Oakland	San Francisco Bay Area Rapid Transit District (Calif.)	Transit
SB978-036	Lexipol	Bear Valley Police Department	Tehachapi	Alpine County	Police
SB978-037	Not scraped	Beaumont Police Department	Beaumont	Riverside County	Police
SB978-038	Lexipol	Bell Gardens Police Department	Bell Gardens	Los Angeles County	Police
SB978-040	Lexipol	Belmont Police Department	Belmont	San Mateo County	Police
SB978-041	Not scraped	Belvedere Police Department	Belvedere	Marin County	Police
SB978-042	Lexipol	Benicia Police Department	Benicia	Solano County	Police
SB978-043	Lexipol	Berkeley Police Department	Berkeley	Alameda County	Police
SB978-044	Lexipol	Beverly Hills Police Department	Beverly Hills	Los Angeles County	Police
SB978-049	Lexipol	Blythe Police Department	Blythe	Riverside County	Police
SB978-050	Lexipol	Brawley Police Department	Brawley	Imperial County	Police
SB978-051	Lexipol	Brea Police Department	Brea	Orange County	Police
SB978-052	Not Lexipol	Brentwood Police Department	Brentwood	Contra Costa County	Police
SB978-053	Lexipol	Brisbane Police Department	Brisbane	San Francisco County	Police
SB978-054	Lexipol	Broadmoor Police Department	Daly City	San Mateo County	Police
SB978-055	Not scraped	Buena Park Police Department	Buena Park	Orange County	Police
SB978-056	Lexipol	Burbank Police Department	Burbank	Los Angeles County	Police
SB978-058	Lexipol	Burlingame Police Department	Burlingame	San Mateo County	Police
SB978-062	Lexipol	Butte County Sheriff's Department/Coroner	Oroville	Butte County	Sheriff
SB978-119	Lexipol	Cal Poly University Police	San Luis Obispo	San Luis Obispo County	College/University
SB978-130	Not Lexipol	Cal State LA Police Department	Los Angeles	Los Angeles County	College/University
SB978-066	Not Lexipol	Calaveras County Sheriff's Department	San Andreas	Calaveras County	Sheriff
SB978-067	Lexipol	Calexico Police Department	Calexico	Imperial County	Police
SB978-068	Not scraped	California City Police Department	California City	Kern County	Police
SB978-071	Lexipol	Calistoga Police Department	Calistoga	Napa County	Police
SB978-072	Not scraped	Campbell Police Department	Campbell	Santa Clara County	Police
SB978-073	Lexipol	Capitola Police Department	Capitola	Santa Cruz County	Police
SB978-074	Not scraped	Carlsbad Police Department	Carlsbad	San Diego County	Police
SB978-075	Lexipol	Carmel Police Department	Carmel	Monterey County	Police
SB978-076	Not scraped	Cathedral City Police Department	Cathedral City	Riverside County	Police
SB978-077	Lexipol	Central Marin Police Authority	Larkspur	Marin County	Police
SB978-078	Not scraped	Ceres Department of Public Safety	Ceres	Stanislaus County	Police
SB978-080	Lexipol	Chaffey Community College District Police Department	Rancho Cucamonga	San Bernardino County	College/University
SB978-082	Lexipol	Chico Police Department	Chico	Butte County	Police
SB978-083	Lexipol	Chino Police Department	Chino	San Bernardino County	Police
SB978-084	Lexipol	Chowchilla Police Department	Chowchilla	Madera County	Police
SB978-085	Lexipol	Chula Vista Police Department	Chula Vista	San Diego County	Police
SB978-086	Not Lexipol	Citrus Community College District Department of Campus Safety	Glendora	Los Angeles County	College/University
SB978-087	Lexipol	Citrus Heights Police Department	Citrus Heights	Sacramento County	Police
