City	City coordinate location	City GeoNames ID	City QID	County	GeoNames ID	County QID
Alameda	37.763888888889,-122.25694444444	5322737	Q490744	Alameda County	5322745	Q107146
Albany	37.886944444444,-122.29777777778	5322850	Q671480	Contra Costa County	5339268	Q108058
Alhambra	34.081944444444,-118.135	5323060	Q752681	Los Angeles County	5368381	Q104994
Alturas	41.487222222222,-120.5425	5558829	Q446281	Modoc County	5568120	Q109695
Anaheim	33.836111111111,-117.88972222222	5323810	Q49247	Orange County	5379524	Q5925
Anderson	40.452222222222,-122.29666666667	5558857	Q491469	Shasta County	5571096	Q156350
Angels Camp	38.068333333333,-120.53972222222	5324004	Q2603725	Calaveras County	5332628	Q271613
Antioch	38.005,-121.80583333333	5324200	Q495357	Contra Costa County	5339268	Q108058
Apple Valley	34.516666666667,-117.21666666667	5324363	Q621372	San Bernardino County	5391726	Q108053
Arcadia	34.132777777778,-118.03638888889	5324477	Q534536	Los Angeles County	5368381	Q104994
Arcata	40.866388888889,-124.08277777778	5558953	Q631752	Humboldt County	5565500	Q109651
Arroyo Grande	35.120833333333,-120.58666666667	5324802	Q703206	San Luis Obispo County	5392329	Q49014
Arvin	35.209166666667,-118.82833333333	5324903	Q717385	Kern County	5362932	Q108047
Atascadero	35.484166666667,-120.6725	5325111	Q653827	San Luis Obispo County	5392329	Q49014
Atherton	37.458611111111,-122.2	5325147	Q2869080	San Mateo County	5392427	Q108101
Atwater	37.347777777778,-120.60916666667	5325187	Q595806	Merced County	5372259	Q109690
Auburn	38.898611111111,-121.07444444444	5325223	Q758542	Placer County	5383537	Q156353
Avenal	36.03,-120.11	5325327	Q790415	Kings County	5363385	Q156358
Azusa	34.130555555556,-117.90694444444	5325423	Q794396	Los Angeles County	5368381	Q104994
Bakersfield	35.405833333333,-119.01861111111	5325738	Q49256	Kern County	5362932	Q108047
Banning	33.931666666667,-116.8975	5326032	Q806903	Riverside County	5387890	Q108111
Barstow	34.893333333333,-117.01888888889	5326297	Q499174	San Bernardino County	5391726	Q108053
Beaumont	33.924166666667,-116.97361111111	5327098	Q813431	Riverside County	5387890	Q108111
Bell Gardens	33.968055555556,-118.15611111111	5327319	Q815720	Los Angeles County	5368381	Q104994
Belmont	37.518055555556,-122.29166666667	5327455	Q816099	San Mateo County	5392427	Q108101
Belvedere	37.872777777778,-122.46444444444	5327490	Q2054234	Marin County	5370468	Q108117
Benicia	38.063333333333,-122.15611111111	5327550	Q817301	Solano County	5396987	Q108083
Berkeley	37.870277777778,-122.26805555556	5327684	Q484678	Alameda County	5322745	Q107146
Beverly Hills	34.073055555556,-118.39944444444	5328041	Q127856	Los Angeles County	5368381	Q104994
Bishop	37.3635,-118.3951	5328808	Q852658	Inyo County	5359604	Q109670
Blythe	33.610277777778,-114.59638888889	5329649	Q886915	Riverside County	5387890	Q108111
Brawley	32.978611111111,-115.53027777778	5330567	Q902878	Imperial County	5359067	Q169952
Brea	33.923333333333,-117.88888888889	5330582	Q302612	Orange County	5379524	Q5925
Brentwood	37.931944444444,-121.69583333333	5330642	Q846426	Contra Costa County	5339268	Q108058
Bridgeport	38.255833333333,-119.23138888889	5330736	Q913753	Mono County	5374091	Q156366
Brisbane	37.680833333333,-122.41916666667	5330810	Q917671	San Francisco County	5391997	Q13188841
Buena Park	33.856111111111,-118.00416666667	5331575	Q838762	Orange County	5379524	Q5925
Burbank	34.180277777778,-118.32833333333	5331835	Q39561	Los Angeles County	5368381	Q104994
Burlingame	37.583333333333,-122.36361111111	5331920	Q986867	San Mateo County	5392427	Q108101
Calexico	32.678055555556,-115.49777777778	5332698	Q753034	Imperial County	5359067	Q169952
California City	35.125833333333,-117.98583333333	5332748	Q732125	Kern County	5362932	Q108047
Calistoga	38.581388888889,-122.58277777778	5332937	Q983598	Napa County	5376101	Q108137
